Runs,best_params_,category,drop_text__accept_sparse,drop_text__func,drop_text__inv_kw_args,drop_text__inverse_func,drop_text__kw_args,drop_text__pass_y,drop_text__validate,encode__default,encode__df_out,encode__features_category,encode__input_df,encode__sparse,folds,forest__bootstrap,forest__class_weight,forest__criterion,forest__max_depth,forest__max_features,forest__max_leaf_nodes,forest__min_impurity_decrease,forest__min_impurity_split,forest__min_samples_leaf,forest__min_samples_split,forest__min_weight_fraction_leaf,forest__n_estimators,forest__n_jobs,forest__oob_score,forest__random_state,forest__verbose,forest__warm_start,param_grid,score_accuracy_test_mean,score_accuracy_test_std,score_accuracy_train_mean,score_accuracy_train_std,score_f1_weighted_test_mean,score_f1_weighted_test_std,score_f1_weighted_train_mean,score_f1_weighted_train_std,score_precision_weighted_test_mean,score_precision_weighted_test_std,score_precision_weighted_train_mean,score_precision_weighted_train_std,score_recall_weighted_test_mean,score_recall_weighted_test_std,score_recall_weighted_train_mean,score_recall_weighted_train_std,step_1_est,step_1_name,step_2_est,step_2_name,step_3_est,step_3_name,step_4_est,step_4_name,time_fit_mean,time_fit_std,time_score_mean,time_score_std,gradient__criterion,gradient__init,gradient__learning_rate,gradient__loss,gradient__max_depth,gradient__max_features,gradient__max_leaf_nodes,gradient__min_impurity_decrease,gradient__min_impurity_split,gradient__min_samples_leaf,gradient__min_samples_split,gradient__min_weight_fraction_leaf,gradient__n_estimators,gradient__presort,gradient__random_state,gradient__subsample,gradient__verbose,gradient__warm_start
22,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 75, 'forest__warm_start': False}",EDUCATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.504041570438799,0.04561121881958135,0.9744033233121984,0.0016851449591383616,0.4837639528741193,0.047814477373823376,0.9744242211528472,0.0016920198086107685,0.4950788852276466,0.0510535883805044,0.9749152302171172,0.0016433095400569973,0.504041570438799,0.04561121881958135,0.9744033233121984,0.0016851449591383616,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,36.47079086303711,0.6019738523147544,6.764526581764221,0.8480555801641687,,,,,,,,,,,,,,,,,,
23,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 50}",EDUCATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5005773672055427,0.05028702868418795,0.9940335234520072,0.001253977164553435,0.4810750941847097,0.05178842542729165,0.9940322315579352,0.0012537477999770214,0.4949106580018509,0.05866851753156594,0.9940679456967072,0.0012485459467135324,0.5005773672055427,0.05028702868418795,0.9940335234520072,0.001253977164553435,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,36.53583738803864,0.5898609638431732,6.731399488449098,0.8330242992370646,friedman_mse,None,0.1,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,50.0,auto,None,1.0,0.0,False
24,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 50, 'forest__warm_start': True}",ADVENTURE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5148771021992238,0.09098542182113507,0.968803136354924,0.008812973553616309,0.5001903634523306,0.08737072085625228,0.9641538693360558,0.012401800505306496,0.49916130618169896,0.08249898170308302,0.9708029200182018,0.007732355521784418,0.5148771021992238,0.09098542182113507,0.968803136354924,0.008812973553616309,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,14.849336552619937,0.11894722653943622,2.6036376237869256,0.14310133385829527,,,,,,,,,,,,,,,,,,
25,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 150}",ADVENTURE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5058214747736093,0.09937223798025012,1.0,0.0,0.4996146820584244,0.09619257334868726,1.0,0.0,0.5121352513789776,0.0966258917033066,1.0,0.0,0.5058214747736093,0.09937223798025012,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,15.597512865066529,0.12898071755789808,2.592448234558105,0.14222635829817984,friedman_mse,None,0.01,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
26,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 50, 'forest__warm_start': True}",PUZZLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4791288566243194,0.05865462137954625,0.9872956242410832,0.002078186223657705,0.4698480487949251,0.0629363453006631,0.987294888922746,0.0020761490286126854,0.4700406905536128,0.06645186521255028,0.9873247509362164,0.002072103426107984,0.4791288566243194,0.05865462137954625,0.9872956242410832,0.002078186223657705,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,16.335140204429628,0.20597309189136748,3.0033856868743896,0.2750647279133493,,,,,,,,,,,,,,,,,,
27,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 50}",PUZZLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4709618874773139,0.0650463743036628,0.9892108481680084,0.001633920342174808,0.4610611588839942,0.0699179363516485,0.9891140139710068,0.0016666798472502284,0.4608473779388706,0.07363038286919732,0.9892498180654627,0.001630312676327468,0.4709618874773139,0.0650463743036628,0.9892108481680084,0.001633920342174808,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,16.603977251052857,0.20553533517164008,2.991293478012085,0.2745283961516555,friedman_mse,None,0.01,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,50.0,auto,None,1.0,0.0,False
28,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 150, 'forest__warm_start': True}",CASUAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4987309644670051,0.05943843382512828,0.9650336610436608,0.006220925977730797,0.4844237713778982,0.07016029569873791,0.9649585709887176,0.006228052402592332,0.5134720124550547,0.07780177918214091,0.9658878855909064,0.006197622534421882,0.4987309644670051,0.05943843382512828,0.9650336610436608,0.006220925977730797,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,12.186912846565244,0.09794501952333867,2.2636223077774047,0.17308532367549614,,,,,,,,,,,,,,,,,,
29,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 10}",CASUAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4898477157360406,0.0666874222089819,1.0,0.0,0.4750606261354257,0.07237288332645223,1.0,0.0,0.4867880979499529,0.07609952681004338,1.0,0.0,0.4898477157360406,0.0666874222089819,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,12.045616436004641,0.10937679408206882,2.225461554527284,0.17278383345151646,friedman_mse,None,1.0,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
30,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': 'sqrt', 'forest__n_estimators': 10, 'forest__warm_start': False}",RACING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4615384615384616,0.12863024754777594,0.8913181180004571,0.04113185692001421,0.4223907845450833,0.1218991093596996,0.8792975865570931,0.042700157561269284,0.4273966875615228,0.1436397762043566,0.8750605316667702,0.03823476243709674,0.4615384615384616,0.12863024754777594,0.8913181180004571,0.04113185692001421,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,3.538190293312073,0.08161978557313093,0.62283775806427,0.1172941332344291,,,,,,,,,,,,,,,,,,
31,"{'gradient__learning_rate': 0.001, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 150}",RACING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5164835164835165,0.09752725756223192,0.8144588289925737,0.021608725185865117,0.41349573503419657,0.0906692697336148,0.7873872856101208,0.0278031367056024,0.39972884124063823,0.10257005074391014,0.8444576100397541,0.012553105646020921,0.5164835164835165,0.09752725756223192,0.8144588289925737,0.021608725185865117,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,3.8566027879714966,0.07937944828332028,0.6226499319076538,0.11809748850165627,friedman_mse,None,0.001,deviance,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
32,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 10, 'forest__warm_start': False}",ROLE PLAYING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4786150712830957,0.03690661616681225,0.9651612473740456,0.024930621531122514,0.45270664435311697,0.045459475373085714,0.963948002143442,0.027119166754835337,0.4764664516072207,0.07726226821796932,0.9669800008386886,0.021844977092081115,0.4786150712830957,0.03690661616681225,0.9651612473740456,0.024930621531122514,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,12.000782489776613,0.11604363431743896,2.0307488203048707,0.1506659538388295,,,,,,,,,,,,,,,,,,
33,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 75}",ROLE PLAYING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4704684317718941,0.04974942578841728,1.0,0.0,0.4528540773826744,0.053783938314257616,1.0,0.0,0.4709582284289719,0.0652759935092177,1.0,0.0,0.4704684317718941,0.04974942578841728,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,12.397542762756348,0.10894577255558564,2.0320939779281617,0.15010871840453668,friedman_mse,None,0.01,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
34,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 5, 'forest__warm_start': False}",BOOKS & REFERENCE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4779202279202279,0.0224674861885093,0.9445183561729232,0.0071590813139224,0.4740836157616835,0.02306759815179593,0.9447089608520296,0.007154430416665128,0.4852402682797861,0.02551401950921896,0.9455689226706347,0.007203922397803067,0.4779202279202279,0.0224674861885093,0.9445183561729232,0.0071590813139224,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,24.40983533859253,0.3164161512406468,4.5596479177474984,0.35344253008229914,,,,,,,,,,,,,,,,,,
35,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 75}",BOOKS & REFERENCE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.485042735042735,0.02941513075423601,0.9992877861690964,0.00023740576906937597,0.4838046379568429,0.02864878299196142,0.9992878277110964,0.0002373919223871434,0.4955941120824061,0.02500339221478675,0.9992902658376084,0.00023657920216159486,0.485042735042735,0.02941513075423601,0.9992877861690964,0.00023740576906937597,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,24.890879988670353,0.33176584485916755,4.558285212516784,0.35030472908133753,friedman_mse,None,1.0,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
36,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 50, 'forest__warm_start': True}",SPORTS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.43486410496719774,0.04218866719181971,0.9855251422510444,0.002571569292648607,0.4314824772380471,0.047344447572384436,0.9855528510635636,0.002566317062262493,0.4430747392912511,0.04369241852831182,0.985705300406598,0.0025427105089253104,0.43486410496719774,0.04218866719181971,0.9855251422510444,0.002571569292648607,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,19.868590831756595,0.2656815505993496,3.7089630365371695,0.3658155312642552,,,,,,,,,,,,,,,,,,
37,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 5}",SPORTS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4358013120899719,0.056216953872935335,0.998958006118134,0.0012332535791220508,0.4325228731827277,0.06171842825335495,0.998957921289285,0.0012333978282705767,0.44291225873168094,0.06274816170812532,0.9989641936475484,0.0012258131810530214,0.4358013120899719,0.056216953872935335,0.998958006118134,0.0012332535791220508,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,19.828483986854554,0.2730798488084037,3.683288550376892,0.3562800827862988,friedman_mse,None,1.0,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,auto,None,1.0,0.0,False
38,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 50, 'forest__warm_start': True}",BOARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.37735849056603776,0.11835763562754327,0.9832820725740016,0.01272576866331796,0.36058546570127903,0.12425675232513805,0.9833120292428952,0.012705782870479113,0.3646403805837769,0.13022411339260895,0.9841032900788927,0.011951749559548823,0.37735849056603776,0.11835763562754327,0.9832820725740016,0.01272576866331796,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,5.627760100364685,0.07040175125601446,0.953697633743286,0.08479316038069835,,,,,,,,,,,,,,,,,,
39,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 100}",BOARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.3622641509433962,0.08683824498991087,1.0,0.0,0.347719774111401,0.0828945771259166,1.0,0.0,0.3728760652345559,0.08971809388382851,1.0,0.0,0.3622641509433962,0.08683824498991087,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,5.744388103485107,0.06258624952509748,0.9437342882156372,0.08505828303342669,friedman_mse,None,1.0,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
40,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 5, 'forest__warm_start': False}",CARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4370860927152318,0.10577491566043376,0.9204554347926612,0.04401706979937183,0.4084304350010767,0.11473470977248655,0.9178839932238664,0.04630320903849697,0.4517507418997485,0.14160076754167636,0.9241203281939564,0.042150806437640784,0.4370860927152318,0.10577491566043376,0.9204554347926612,0.04401706979937183,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,5.61229522228241,0.09564232528977412,0.952654266357422,0.1488583349327903,,,,,,,,,,,,,,,,,,
41,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 100}",CARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4403973509933775,0.08356821993925508,1.0,0.0,0.4074031483577237,0.09334198162376116,1.0,0.0,0.4318602687154448,0.12600819969368274,1.0,0.0,0.4403973509933775,0.08356821993925508,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,5.767933559417725,0.09452748145253301,0.9530637502670288,0.1473284844099247,friedman_mse,None,1.0,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
42,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 5, 'forest__warm_start': True}",VIDEO PLAYERS & EDITORS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4077922077922078,0.09781134940726484,0.9974004856777692,0.002728202955327291,0.4070428894532224,0.09680895040105927,0.9974033450283776,0.002722083556182534,0.42743215446805977,0.10097731137646372,0.9974464230024328,0.002659010120786356,0.4077922077922078,0.09781134940726484,0.9974004856777692,0.002728202955327291,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,8.107146191596986,0.19261813167393216,1.417202353477478,0.2512783666176009,,,,,,,,,,,,,,,,,,
43,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 150}",VIDEO PLAYERS & EDITORS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4103896103896104,0.08090300408665185,1.0,0.0,0.4040972873417243,0.0815664760156298,1.0,0.0,0.4212178297892583,0.08384675237485265,1.0,0.0,0.4103896103896104,0.08090300408665185,1.0,0.0,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,8.394401478767396,0.18489101963617205,1.417505383491516,0.25120584952462355,friedman_mse,None,0.1,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
44,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': 'sqrt', 'forest__n_estimators': 50, 'forest__warm_start': False}",HEALTH & FITNESS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.3881856540084388,0.03864964081954975,0.9337847504565469,0.035030269544276384,0.38577426355316624,0.03835313647162356,0.9333314646747808,0.03536647273713435,0.39600984250188737,0.04187296742757373,0.9378708788546032,0.03230805093960691,0.3881856540084388,0.03864964081954975,0.9337847504565469,0.035030269544276384,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,26.040292620658875,0.26054350981287805,4.8160802841186525,0.25790195353345025,,,,,,,,,,,,,,,,,,
