Runs,best_params_,category,drop_text__accept_sparse,drop_text__func,drop_text__inv_kw_args,drop_text__inverse_func,drop_text__kw_args,drop_text__pass_y,drop_text__validate,encode__default,encode__df_out,encode__features_category,encode__input_df,encode__sparse,folds,forest__bootstrap,forest__class_weight,forest__criterion,forest__max_depth,forest__max_features,forest__max_leaf_nodes,forest__min_impurity_decrease,forest__min_impurity_split,forest__min_samples_leaf,forest__min_samples_split,forest__min_weight_fraction_leaf,forest__n_estimators,forest__n_jobs,forest__oob_score,forest__random_state,forest__verbose,forest__warm_start,param_grid,score_accuracy_test_mean,score_accuracy_test_std,score_accuracy_train_mean,score_accuracy_train_std,score_f1_weighted_test_mean,score_f1_weighted_test_std,score_f1_weighted_train_mean,score_f1_weighted_train_std,score_precision_weighted_test_mean,score_precision_weighted_test_std,score_precision_weighted_train_mean,score_precision_weighted_train_std,score_recall_weighted_test_mean,score_recall_weighted_test_std,score_recall_weighted_train_mean,score_recall_weighted_train_std,step_1_est,step_1_name,step_2_est,step_2_name,step_3_est,step_3_name,time_fit_mean,time_fit_std,time_score_mean,time_score_std,gradient__criterion,gradient__init,gradient__learning_rate,gradient__loss,gradient__max_depth,gradient__max_features,gradient__max_leaf_nodes,gradient__min_impurity_decrease,gradient__min_impurity_split,gradient__min_samples_leaf,gradient__min_samples_split,gradient__min_weight_fraction_leaf,gradient__n_estimators,gradient__presort,gradient__random_state,gradient__subsample,gradient__verbose,gradient__warm_start
22,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 5, 'forest__warm_start': True}",EDUCATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.41859122401847576,0.03859689304036887,0.5041687255600863,0.0072577631268800095,0.3502617707415563,0.042964240783908536,0.4532714315766442,0.012997887135719331,0.4029585927028321,0.07424363737130155,0.5629785361314527,0.016583729224258027,0.41859122401847576,0.03859689304036887,0.5041687255600863,0.0072577631268800095,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.0216054916381836,0.0007376023056349765,0.010227632522583009,0.0005702356676843434,,,,,,,,,,,,,,,,,,
23,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 100}",EDUCATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4209006928406466,0.034037821208977984,0.9989733714097292,0.00042592792055642616,0.4105121192441328,0.03594525021167666,0.9989733373427048,0.0004259241758074504,0.4112922202630232,0.034863485719777744,0.9989758561268596,0.0004248417449914832,0.4209006928406466,0.034037821208977984,0.9989733714097292,0.00042592792055642616,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,1.297875070571899,0.006124243503650871,0.01596865653991699,0.00024232914578154239,friedman_mse,None,1.0,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
24,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 50, 'forest__warm_start': True}",ADVENTURE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5304010349288486,0.051028129492854436,0.6898119733751374,0.00884719865200481,0.5162978572826321,0.050246575780905536,0.679222429262723,0.010029395960242979,0.5293972633017122,0.059116066014903434,0.708544447993242,0.008037581483123815,0.5304010349288486,0.051028129492854436,0.6898119733751374,0.00884719865200481,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.12663700580596926,0.0012001359756342474,0.020707368850708008,0.0006973960009089408,,,,,,,,,,,,,,,,,,
25,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 75}",ADVENTURE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5278137128072445,0.05835866951334661,0.9948217733256236,0.002347416352871907,0.5150026034947338,0.05870714202946323,0.9948240670071272,0.00234630046350322,0.5261875787368558,0.07239468525528489,0.9948588527423736,0.002338857651936557,0.5278137128072445,0.05835866951334661,0.9948217733256236,0.002347416352871907,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.4432565927505493,0.003572692927483832,0.011367702484130859,0.00016822684513503346,friedman_mse,None,0.1,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
26,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 50, 'forest__warm_start': True}",PUZZLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5208711433756806,0.029682184221397775,0.6800671431119308,0.013377026114413907,0.5090646257219743,0.029668978164896363,0.6753110362922813,0.013933562670796382,0.5195968840376256,0.03399410335472551,0.6774611140901869,0.013848083625903463,0.5208711433756806,0.029682184221397775,0.6800671431119308,0.013377026114413907,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.14193406105041506,0.0012613328749155293,0.0212493896484375,0.0004186159522372257,,,,,,,,,,,,,,,,,,
27,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 10}",PUZZLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5226860254083484,0.05403826005525456,0.7526690493045141,0.012850337044332671,0.5168408773552681,0.05546852298997152,0.751844835321799,0.01287159962431712,0.5294771279160202,0.06524750205252622,0.7565086702230329,0.013511623222483156,0.5226860254083484,0.05403826005525456,0.7526690493045141,0.012850337044332671,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.11081883907318116,0.0018822364127995177,0.009045743942260742,0.00028620491968809215,friedman_mse,None,0.1,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
28,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 150, 'forest__warm_start': True}",CASUAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5342639593908629,0.07128316301522462,0.6934560470967293,0.007164764348382553,0.5180002183835933,0.0769951973265166,0.6881667410238057,0.007285564413922709,0.5573343800423284,0.07020066674459467,0.7061915945231181,0.0077235346909193875,0.5342639593908629,0.07128316301522462,0.6934560470967293,0.007164764348382553,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.3517435312271118,0.002784987600633243,0.04480443000793457,0.0014447719469507091,,,,,,,,,,,,,,,,,,
29,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 150}",CASUAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5101522842639594,0.06184937113956121,0.9471256698791232,0.006841793005716249,0.4978972517965742,0.06649624294315855,0.9472623859094896,0.0068853696136505155,0.5225658214944781,0.054557792748233525,0.9506560203833648,0.006501836807661221,0.5101522842639594,0.06184937113956121,0.9471256698791232,0.006841793005716249,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.6711291074752808,0.004183646886329551,0.01197056770324707,0.00018746766003229496,friedman_mse,None,0.1,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
30,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 5, 'forest__warm_start': True}",RACING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5384615384615384,0.12357718462476032,0.7540642243771836,0.01953827648170436,0.5158286239930568,0.12587033108768547,0.7447977803238228,0.02317279248298986,0.5358534322820037,0.15023905013916056,0.7652290911042035,0.027168358496144136,0.5384615384615384,0.12357718462476032,0.7540642243771836,0.01953827648170436,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.00909733772277832,0.0004756606847545608,0.009048032760620115,0.0001563980738639712,,,,,,,,,,,,,,,,,,
31,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 75}",RACING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.5439560439560439,0.13927394328839626,1.0,0.0,0.5281322454144214,0.12951637581260755,1.0,0.0,0.5424786141819109,0.1377713852767712,1.0,0.0,0.5439560439560439,0.13927394328839626,1.0,0.0,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.1301025152206421,0.002481222231174804,0.008589529991149902,0.0001592629130713659,friedman_mse,None,1.0,deviance,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
32,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 100, 'forest__warm_start': True}",ROLE PLAYING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,100.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.5112016293279023,0.05155402461540985,0.7359289088570571,0.012451291688747828,0.4977884837196056,0.06596858147709163,0.7325125686105294,0.012148546602629878,0.5350364379158081,0.07937953804181337,0.7571528190129404,0.013918706092390794,0.5112016293279023,0.05155402461540985,0.7359289088570571,0.012451291688747828,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.20451977252960205,0.0013106505138013767,0.03112626075744629,0.00036269315364451565,,,,,,,,,,,,,,,,,,
33,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 150}",ROLE PLAYING,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4908350305498982,0.032676565647397716,0.6924599204435605,0.007530322606247455,0.477005234420489,0.03387203956398918,0.6897464326838881,0.007349143782515235,0.52991009124554,0.04704121153949223,0.7170703130726961,0.007595543240620207,0.4908350305498982,0.032676565647397716,0.6924599204435605,0.007530322606247455,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.5546459674835205,0.005944072154973346,0.010669922828674315,0.0005186693411448621,friedman_mse,None,0.01,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
34,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 150, 'forest__warm_start': True}",BOOKS & REFERENCE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.448005698005698,0.04565406876207336,0.5652860033221061,0.013117167151099136,0.4331802996527286,0.05367223581261876,0.5620941017201995,0.014182717018660269,0.4750223405977654,0.05001473827488087,0.5998226005499527,0.013364710488521905,0.448005698005698,0.04565406876207336,0.5652860033221061,0.013117167151099136,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.4338324308395386,0.004070164692323575,0.04979369640350342,0.0017433344875110255,,,,,,,,,,,,,,,,,,
35,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 150}",BOOKS & REFERENCE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4636752136752137,0.053308168996359054,0.9980213985353664,0.0005312776928511977,0.46274036999831697,0.05516191847738825,0.9980230725395304,0.000530427516083681,0.4706087687208054,0.05859379265414383,0.9980357717107504,0.0005260423864323261,0.4636752136752137,0.053308168996359054,0.9980213985353664,0.0005312776928511977,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,1.288817048072815,0.032122333045669686,0.01648540496826172,0.00047566059871157547,friedman_mse,None,1.0,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
36,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 75, 'forest__warm_start': True}",SPORTS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.42361761949390814,0.05274184332081994,0.5596216038969637,0.009557758906981677,0.4095958250129548,0.0572153296328993,0.5558476316625446,0.010456758861293335,0.4312915123868669,0.06091573457234014,0.576870165734962,0.009339563688661193,0.42361761949390814,0.05274184332081994,0.5596216038969637,0.009557758906981677,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.19480247497558595,0.0023613446907701625,0.02761831283569336,0.0006250276737831532,,,,,,,,,,,,,,,,,,
37,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 150}",SPORTS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.39268978444236174,0.033802694651193864,0.8558761971266234,0.009185564925659057,0.3907523525711868,0.031937508564205665,0.8559467697454426,0.009344411692351891,0.4052757333532547,0.03555541560601664,0.8596332470380581,0.009100284137304229,0.39268978444236174,0.033802694651193864,0.8558761971266234,0.009185564925659057,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.7779202222824096,0.0073189271757357925,0.013143396377563477,0.0003931772231055902,friedman_mse,None,0.1,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
38,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 10, 'forest__warm_start': False}",BOARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4037735849056604,0.0925607179456315,0.5894975197618911,0.02033472472468597,0.3793314471224979,0.10250415793975244,0.5807659849691446,0.023524967162302783,0.4349497672139182,0.14416011883134622,0.6148709262379233,0.02278506847797186,0.4037735849056604,0.0925607179456315,0.5894975197618911,0.02033472472468597,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.016798472404479986,0.00020854920127022915,0.01017611026763916,0.00018403845167966023,,,,,,,,,,,,,,,,,,
39,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 10}",BOARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4188679245283019,0.11053524750698324,0.7174546195034746,0.01888539078483521,0.406184887993989,0.12378039918873475,0.7160753210491481,0.02029381612930504,0.4271698113207547,0.14255714047612195,0.7323280116437872,0.01800486226248347,0.4188679245283019,0.11053524750698324,0.7174546195034746,0.01888539078483521,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.03128616809844971,0.0004995590017975905,0.008222270011901855,0.00024640677340615933,friedman_mse,None,0.1,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
40,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 10, 'forest__warm_start': False}",CARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4205298013245033,0.06524344185489275,0.6828614762073565,0.015580334082010188,0.3957012444125371,0.06249281545018555,0.6724033475659053,0.01738704197048628,0.43311136309567816,0.09909607998577892,0.7203106114261345,0.016361720486455015,0.4205298013245033,0.06524344185489275,0.6828614762073565,0.015580334082010188,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.015701580047607418,0.0003216681902511423,0.010372161865234377,0.00022644057307598682,,,,,,,,,,,,,,,,,,
41,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 75}",CARD,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.40728476821192056,0.07671652747732713,1.0,0.0,0.3923657055391336,0.08127014689388218,1.0,0.0,0.4116730032292946,0.09299226522033152,1.0,0.0,0.40728476821192056,0.07671652747732713,1.0,0.0,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.4026220560073853,0.00559205766968288,0.009229230880737304,9.201664908015189e-05,friedman_mse,None,0.1,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
42,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 150, 'forest__warm_start': True}",VIDEO PLAYERS & EDITORS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.35324675324675325,0.06420520937132393,0.5237937104559945,0.02193524755544429,0.33322663787542706,0.07080605765952322,0.5154699669419881,0.0243372111231442,0.37459935342280587,0.08282184628808338,0.5544389061920361,0.023351023789475442,0.35324675324675325,0.06420520937132393,0.5237937104559945,0.02193524755544429,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.2295672416687012,0.0015684445362408954,0.042516684532165526,0.0011437897518286801,,,,,,,,,,,,,,,,,,
43,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 100}",VIDEO PLAYERS & EDITORS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.3636363636363637,0.07186476382328698,1.0,0.0,0.36179757239014304,0.07616983725477472,1.0,0.0,0.3778623324727221,0.07953131290933461,1.0,0.0,0.3636363636363637,0.07186476382328698,1.0,0.0,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.2878471851348877,0.0021525879041234207,0.009339547157287598,0.00013965918311953832,friedman_mse,None,1.0,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
44,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 100, 'forest__warm_start': False}",HEALTH & FITNESS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,100.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.3763713080168776,0.042856234660267625,0.5704599645480389,0.013652925224983004,0.3652201505225059,0.04197659427278448,0.5697189335334153,0.013586503226911179,0.3851521376383441,0.05063741770416383,0.5870143138681185,0.015389633276934059,0.3763713080168776,0.042856234660267625,0.5704599645480389,0.013652925224983004,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.2748034715652466,0.002031154969679275,0.033488202095031734,0.0006477500917029433,,,,,,,,,,,,,,,,,,
45,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 100}",HEALTH & FITNESS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.3797468354430379,0.042386692390735295,0.9984994998564792,0.0004601075253230244,0.3773750236034806,0.044236747173838575,0.9984994934024852,0.0004601134784888906,0.3809656620001349,0.04698483210024894,0.9985044751566456,0.00045895776158421054,0.3797468354430379,0.042386692390735295,0.9984994998564792,0.0004601075253230244,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.6851168632507324,0.004278173589876809,0.014747524261474609,0.00013672282580597155,friedman_mse,None,1.0,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
